asset_id,asset_name,travel_seconds,travel_time_str,stopped_seconds,stopped_time_str,proyecto,ec,fecha_procesamiento
281474997546570,1934,32987,9:09:47,57641,16:00:41,Circuitos,EC-03,2026-02-20
281474997562547,1885,49324,13:42:04,12552,3:29:12,Liverpool Local,EC-01,2026-02-20
281474997597070,1876,70113,19:28:33,27817,7:43:37,Circuitos,EC-03,2026-02-20
281474997600649,1833,54999,15:16:39,12563,3:29:23,Liverpool Local,EC-01,2026-02-20
281474997601553,1809,19094,5:18:14,54729,15:12:09,Liverpool Local,EC-01,2026-02-20
281474997617337,1938,64654,17:57:34,20277,5:37:57,Sayer Vuelteros,EC-04,2026-02-20
281474997621025,2180,16465,4:34:25,75574,20:59:34,Sayer Full,EC-04,2026-02-20
281474997706186,1893,48880,13:34:40,13113,3:38:33,Pilgrims Tepo,EC-02,2026-02-20
281474997715890,1866,0,0:00:00,99120,"1 day, 3:32:00",Pilgrims Tepo,EC-02,2026-02-20
281474997716273,1837,63188,17:33:08,0,0:00:00,Liverpool Local,EC-01,2026-02-20
281474997716584,1836,42336,11:45:36,30136,8:22:16,Liverpool Local,EC-01,2026-02-20
281474997716782,1832,39720,11:02:00,0,0:00:00,Liverpool Local,EC-01,2026-02-20
281474997830549,1801,5429,1:30:29,77715,21:35:15,Walmart Full SC,EC-08,2026-02-20
281474997839680,1902,47934,13:18:54,26676,7:24:36,Pipas,EC-02,2026-02-20
281474997922969,2182,0,0:00:00,99120,"1 day, 3:32:00",Sayer Full,EC-04,2026-02-20
281474997923065,2183,42558,11:49:18,43592,12:06:32,Sayer Sencillo,EC-04,2026-02-20
281474997923082,2184,18742,5:12:22,78460,21:47:40,Walmart Full SC,EC-08,2026-02-20
281474997923086,2185,55261,15:21:01,24254,6:44:14,Sayer Full,EC-04,2026-02-20
281474997923092,2186,72735,20:12:15,29212,8:06:52,MeLi Dedicado TD,EC-05,2026-02-20
281474997923100,2187,71180,19:46:20,15894,4:24:54,MeLi Dedicado TD,EC-05,2026-02-20
281474997923106,2188,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado TD,EC-05,2026-02-20
281474997923108,2189,67141,18:39:01,14125,3:55:25,MeLi Dedicado TD,EC-05,2026-02-20
281474997923111,2190,64805,18:00:05,24646,6:50:46,MeLi Dedicado TD,EC-05,2026-02-20
281474997923116,2191,68793,19:06:33,24808,6:53:28,MeLi Dedicado TD,EC-05,2026-02-20
281474997958803,1807,46782,12:59:42,11303,3:08:23,Liverpool Local,EC-01,2026-02-20
281474997991193,1900,0,0:00:00,99120,"1 day, 3:32:00",Pilgrims Tepo,EC-02,2026-02-20
281474998024516,2007,0,0:00:00,99120,"1 day, 3:32:00",Available EC-05,EC-05,2026-02-20
281474998031891,1895,31439,8:43:59,59067,16:24:27,Sayer Sencillo,EC-04,2026-02-20
281474998056219,1937,41005,11:23:25,52554,14:35:54,Circuitos Expo,EC-03,2026-02-20
281474998057662,1936,10351,2:52:31,82080,22:48:00,Circuitos,EC-03,2026-02-20
281474998064910,1887,16593,4:36:33,71258,19:47:38,Circuitos,EC-03,2026-02-20
281474998064915,1888,7002,1:56:42,79514,22:05:14,Circuitos,EC-03,2026-02-20
281474998065313,1802,0,0:00:00,99120,"1 day, 3:32:00",Liverpool Local,EC-01,2026-02-20
281474998065317,1810,60745,16:52:25,24161,6:42:41,Circuitos,EC-03,2026-02-20
281474998071059,1884,61324,17:02:04,0,0:00:00,Liverpool Local,EC-01,2026-02-20
281474998071710,1894,303,0:05:03,98816,"1 day, 3:26:56",Pipas,EC-02,2026-02-20
281474998071730,1864,48481,13:28:01,0,0:00:00,Liverpool Local,EC-01,2026-02-20
281474998097010,1851,38335,10:38:55,43890,12:11:30,Circuitos,EC-03,2026-02-20
281474998097686,1880,29445,8:10:45,49805,13:50:05,Circuitos,EC-03,2026-02-20
281474998118553,1872,41445,11:30:45,25029,6:57:09,Circuitos,EC-03,2026-02-20
281474998126755,1947,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474998212219,1792,0,0:00:00,99120,"1 day, 3:32:00",Sayer Sencillo,EC-04,2026-02-20
281474998245984,1959,64471,17:54:31,17681,4:54:41,Liverpool Full,EC-01,2026-02-20
281474998315127,2192,2354,0:39:14,83811,23:16:51,MeLi Dedicado TD,EC-05,2026-02-20
